Customer_ID,Name,Email,Age,Gender,Country,Campaign_Channel,Clicks,Impressions,Conversions,Spend_USD,Revenue_USD,Date
6f09c5dd-f7ba-463b-96be-d7d3eb3c5fe9,Danielle Reyes,kellythompson@jackson.org,45,Other,Mozambique,Search Ads,50,3841,3,189.94,228.17,2025-05-28
5cb82635-aa55-4b66-8f04-389092d4d200,Michael Mason,bennettmelissa@lopez.com,44,Other,Kiribati,Social Media,14,1888,8,132.61,845.5,2025-07-29
9096d0fe-e2c0-4077-9ed6-700e0f6c513a,Kristy Ward,michael15@hotmail.com,49,Other,Kyrgyz Republic,Email,49,4209,1,96.94,184.97,2025-02-04
e66868d6-d0c1-4cbb-b993-dae4f7eec147,John White,chungcarl@simon-anderson.com,50,Female,Cote d'Ivoire,Search Ads,50,4699,0,448.05,601.97,2025-04-01
f11d0133-4ff4-4e8c-ba6c-fd764c64e8d2,Julie Brown,kmeyers@gmail.com,23,Male,Andorra,Referral,38,3367,4,208.24,341.44,2025-07-21
7455f654-6895-4920-9682-beec7c6f0734,Tony Brennan,brucesimpson@gmail.com,65,Other,Mauritius,Referral,36,2058,7,21.26,973.44,2025-05-11
99d09226-6735-401f-b8c5-1764bbca59bb,Jason Diaz,kevinmartinez@kim.info,37,Male,New Zealand,Display Ads,29,1196,6,75.15,678.05,2025-02-27
9d04b40f-55e2-413b-8149-a920d16e7562,Sara Randall,christophermason@yahoo.com,54,Female,Malawi,Referral,21,4872,5,423.15,641.39,2025-02-07
45d247b4-b45b-4d65-803a-71b33c506fca,Catherine Cisneros,sabrina18@king-donovan.com,30,Female,Madagascar,Display Ads,23,3086,7,186.23,35.2,2025-01-20
fcd55867-bb31-47a3-ab34-28bae0671df8,Rodney Montgomery,anna67@lopez-thompson.com,19,Female,Nepal,Referral,23,3370,1,381.07,578.12,2025-03-01
afe67f12-ac7b-4db3-9ec3-5957762266be,Chelsea Summers,bishopsarah@gmail.com,25,Other,Angola,Email,4,3887,0,32.21,993.63,2025-02-06
5c65552d-4162-4fea-a7ad-71c1a2abb634,David Johnson,paulsanchez@gmail.com,34,Other,United States Virgin Islands,Display Ads,49,1737,10,238.11,531.06,2025-03-05
66de947f-17f5-4a62-b489-d5bd6b130071,Martin Warner,sharon67@cruz.com,57,Male,Comoros,Display Ads,5,2633,6,341.3,84.33,2025-03-24
c8558cca-4c9c-4f52-beba-bf119719720d,Heidi Williams,matthewschristina@hotmail.com,58,Female,Cape Verde,Email,34,4087,9,307.41,87.55,2025-03-08
9ff738f3-5722-482d-b884-3a18074c62b9,Matthew Moore,swashington@hotmail.com,48,Male,Albania,Referral,45,3729,3,261.9,882.84,2025-08-15
eeaabb12-3763-4a1b-8fea-039b16d5b2f3,Allison Kaiser,haleywanda@garza-lee.com,65,Male,Myanmar,Search Ads,38,1637,3,56.91,958.37,2025-01-07
74f879aa-321d-461f-96b0-eaa698d3fcda,Lisa Cruz,zachary18@carpenter.com,27,Female,Libyan Arab Jamahiriya,Email,18,2020,8,246.21,664.77,2025-04-23
c6d3cfb7-1af7-48e0-a642-285354f2db5b,Angel King,zriggs@pierce.com,18,Male,Cayman Islands,Social Media,32,4568,8,307.89,268.31,2025-08-14
5d369c70-a04a-4d89-8670-4294dfc02c0e,Jose Reid,zholland@hotmail.com,35,Male,Norfolk Island,Social Media,15,1735,5,290.15,392.13,2025-02-24
fef6f50b-c566-4ae1-950d-6f16ad32fbef,Cheryl Haynes,ctorres@stevens.com,41,Male,Latvia,Email,16,209,4,135.36,525.09,2025-03-05
26b063cc-ca61-48d6-a836-b214806d3e79,Jeffrey Adams,crosbymichael@hotmail.com,52,Other,Guyana,Display Ads,2,4086,7,476.58,477.24,2025-05-18
444a0bd6-af0e-4e6c-ae8a-2cdd94bfe65b,Johnny Barnes,zwright@gmail.com,39,Female,Ghana,Email,17,3484,9,138.25,386.63,2025-03-16
1c281596-0987-4444-ba1f-f998184cf526,Benjamin Lucero,kevinnielsen@gmail.com,19,Male,Djibouti,Display Ads,47,510,1,375.88,960.7,2025-05-17
8ce2b069-13b0-4bb5-b42f-6ccabc89e931,Mrs. Amanda Carrillo,howellaustin@yahoo.com,49,Other,Palestinian Territory,Referral,42,4237,0,235.09,186.93,2025-06-22
ffa44339-2a4e-48dc-98ee-7d90298754c8,Timothy Powell,jhess@hotmail.com,36,Male,Antigua and Barbuda,Search Ads,28,3235,0,75.26,335.5,2025-01-16
880ae173-647f-422a-8dc4-6a8715816d42,Brooke Vaughan,emily14@williams.com,30,Other,Latvia,Email,38,4059,6,161.77,657.68,2025-06-13
c1a179d2-0798-4659-8001-6f92a8b811f3,Jeffrey Soto,codyflores@young.com,50,Other,Cuba,Email,48,3287,6,373.77,65.91,2025-01-21
827c8970-f035-4ab8-b10a-96056ca95168,Mrs. Rachel Allen,eyoung@haney-le.com,51,Other,Taiwan,Social Media,16,1427,7,36.19,747.55,2025-01-19
ad6b2d0e-8e49-4f19-8546-80a3436abeef,Lisa Huff,darrellriley@gmail.com,19,Other,Suriname,Email,38,2723,3,320.03,278.84,2025-01-25
954bac41-9074-4e02-8b84-b7c8185dc33d,Sean Jenkins,christopherscott@gmail.com,35,Other,Iraq,Social Media,36,3567,7,477.91,853.66,2025-04-07
9ed1500f-d690-4db8-9358-f33438b692c3,Dr. Ronald Lynch MD,flemingconnie@irwin.com,50,Male,Hungary,Email,49,4150,4,472.19,120.4,2025-05-15
8dec5f37-4818-444b-9bd9-ee108bacaec7,Amy Allen,bryan85@hotmail.com,34,Female,Finland,Search Ads,23,3177,7,255.25,290.15,2025-01-18
